model,epoch,metrics/mAP50-95(B)
yolo11l,50,0.55482
yolo11l,100,0.63841
yolo11l,150,0.65294
yolo11l,200,0.71143
yolo11l,250,0.72416
yolo11l,300,0.73161
yolo11m,50,0.60444
yolo11m,100,0.67567
yolo11m,150,0.69901
yolo11m,200,0.73033
yolo11m,250,0.74251
yolo11m,300,0.7189
yolo11n,50,0.53053
yolo11n,100,0.59124
yolo11n,150,0.63638
yolo11n,200,0.65551
yolo11n,250,0.66841
yolo11n,300,0.65348
yolo11s,50,0.57755
yolo11s,100,0.63163
yolo11s,150,0.66112
yolo11s,200,0.69659
yolo11s,250,0.71747
yolo11s,300,0.71176
yolo11x,50,0.46385
yolo11x,100,0.67548
yolo11x,150,0.67838
yolo11x,200,0.69975
yolo11x,250,0.72893
yolo11x,300,0.73652
