model,epoch,metrics/mAP50-95(B)
yolo11l,50,0.71644
yolo11l,100,0.76562
yolo11l,150,0.81133
yolo11l,200,0.81224
yolo11l,250,0.84936
yolo11l,300,0.84948
yolo11m,50,0.68504
yolo11m,100,0.79407
yolo11m,150,0.82398
yolo11m,200,0.84186
yolo11m,250,0.84854
yolo11m,300,0.8522
yolo11n,50,0.56056
yolo11n,100,0.69287
yolo11n,150,0.72043
yolo11n,200,0.74689
yolo11n,250,0.75281
yolo11n,300,0.77178
yolo11s,50,0.68719
yolo11s,100,0.76643
yolo11s,150,0.79168
yolo11s,200,0.82138
yolo11s,250,0.82666
yolo11s,300,0.82334
yolo11x,50,0.68115
yolo11x,100,0.77753
yolo11x,150,0.80611
yolo11x,200,0.83619
yolo11x,250,0.8501
yolo11x,300,0.84981
