model,epoch,metrics/mAP50-95(B)
yolo12l,50,0.39911
yolo12l,100,0.64404
yolo12l,150,0.6767
yolo12l,200,0.69938
yolo12l,250,0.71117
yolo12l,300,0.71326
yolo12m,50,0.56298
yolo12m,100,0.63803
yolo12m,150,0.67943
yolo12m,200,0.709
yolo12m,250,0.71034
yolo12m,300,0.7192
yolo12n,50,0.52312
yolo12n,100,0.58894
yolo12n,150,0.63053
yolo12n,200,0.66831
yolo12n,250,0.66815
yolo12n,300,0.67166
yolo12s,50,0.55308
yolo12s,100,0.64925
yolo12s,150,0.66411
yolo12s,200,0.71207
yolo12s,250,0.70419
yolo12s,300,0.70771
yolo12x,50,0.48053
yolo12x,100,0.63167
yolo12x,150,0.6606
yolo12x,200,0.68879
yolo12x,250,0.70048
yolo12x,300,0.70983
