model,epoch,metrics/mAP50-95(B)
yolo12l,50,0.65739
yolo12l,100,0.76005
yolo12l,150,0.78959
yolo12l,200,0.78702
yolo12l,250,0.84061
yolo12l,300,0.84341
yolo12m,50,0.66894
yolo12m,100,0.75448
yolo12m,150,0.80191
yolo12m,200,0.82094
yolo12m,250,0.82656
yolo12m,300,0.84919
yolo12n,50,0.61399
yolo12n,100,0.65889
yolo12n,150,0.74047
yolo12n,200,0.74093
yolo12n,250,0.76549
yolo12n,300,0.76927
yolo12s,50,0.66074
yolo12s,100,0.70779
yolo12s,150,0.78385
yolo12s,200,0.80366
yolo12s,250,0.8271
yolo12s,300,0.83021
yolo12x,50,0.65247
yolo12x,100,0.75921
yolo12x,150,0.78715
yolo12x,200,0.82931
yolo12x,250,0.85155
yolo12x,300,0.84862
