model,epoch,metrics/mAP50-95(B)
yolo12l,50,0.50456
yolo12l,100,0.67257
yolo12l,150,0.70152
yolo12l,200,0.71401
yolo12l,250,0.72979
yolo12l,300,0.73509
yolo12m,50,0.54409
yolo12m,100,0.64611
yolo12m,150,0.70477
yolo12m,200,0.71664
yolo12m,250,0.74157
yolo12m,300,0.74173
yolo12n,50,0.50288
yolo12n,100,0.6308
yolo12n,150,0.64032
yolo12n,200,0.6801
yolo12n,250,0.68396
yolo12n,300,0.67334
yolo12s,50,0.4695
yolo12s,100,0.68664
yolo12s,150,0.69389
yolo12s,200,0.73492
yolo12s,250,0.74565
yolo12s,300,0.73717
yolo12x,50,0.34257
yolo12x,100,0.65318
yolo12x,150,0.67848
yolo12x,200,0.71051
yolo12x,250,0.71769
yolo12x,300,0.7384
